decade,word,tf
1550-1600,davidem,1
1550-1600,de,9
1550-1600,dedic,2
1550-1600,dedicate,1
1550-1600,dedicatori,1
1550-1600,dee,1
1550-1600,dem,1
1550-1600,demeur,1
1550-1600,den,1
1550-1600,der,12
1550-1600,dess,1
1550-1600,dexter,1
1550-1600,dich,1
1550-1600,die,1
1550-1600,differ,3
1550-1600,digitis,5
1550-1600,dir,1
1550-1600,domin,1
1550-1600,domini,1
1550-1600,domu,1
1550-1600,dono,2
1550-1600,dritt,1
1550-1600,ducal,1
1550-1600,due,1
1550-1600,durch,8
1550-1600,earl,2
1550-1600,ed,1
1550-1600,eden,1
1550-1600,edit,7
1550-1600,edua,1
1550-1600,ein,2
1550-1600,einem,2
1550-1600,eisleben,1
1550-1600,electron,1
1550-1600,emptu,1
1550-1600,en,1
1550-1600,endpap,2
1550-1600,enth,4
1550-1600,epistl,1
1550-1600,er,1
1550-1600,erklerung,1
1550-1600,erl,1
1550-1600,ernesto,1
1550-1600,erscheinungsvermerk,2
1550-1600,erskin,1
1550-1600,erst,2
1550-1600,es,1
1550-1600,esqr,1
1550-1600,esquir,1
1550-1600,est,1
1550-1600,estc,8
1550-1600,estienn,1
1550-1600,et,1
1550-1600,etc,1
1550-1600,etlich,1
1550-1600,ex,6
1550-1600,except,1
1550-1600,excvdebat,3
1550-1600,extern,5
1550-1600,festschrift,1
1550-1600,final,1
1550-1600,flaccium,1
1550-1600,flyleaf,2
1550-1600,folio,1
1550-1600,follow,1
1550-1600,foot,1
1550-1600,foreign,1
1550-1600,fraktur,22
1550-1600,franckfurt,1
1550-1600,franz,1
1550-1600,free,1
1550-1600,freme,1
1550-1600,frementel,1
1550-1600,frisch,1
1550-1600,front,6
1550-1600,ga,1
1550-1600,gaubisch,1
1550-1600,gedruckt,12
1550-1600,gegenwertigkeit,1
1550-1600,geistlich,1
1550-1600,gener,5
1550-1600,genf,1
1550-1600,georg,2
1550-1600,georgen,2
1550-1600,georgiu,1
1550-1600,germani,1
1550-1600,gesein,1
1550-1600,getruckt,6
1550-1600,gewagt,1
1550-1600,gezeichnet,1
1550-1600,gibt,1
1550-1600,give,1
1550-1600,glasgua,1
1550-1600,gold,1
1550-1600,gordon,1
1550-1600,gordoni,1
1550-1600,gott,3
1550-1600,gottseligen,1
1550-1600,greek,1
1550-1600,gregori,1
1550-1600,griech,2
1550-1600,gruppenbach,3
1550-1600,guldenmundt,1
1550-1600,gymnasii,1
1550-1600,hab,1
1550-1600,hadinton,2
1550-1600,haeredvm,1
1550-1600,hand,6
1550-1600,handelt,1
1550-1600,hariot,1
1550-1600,harmoni,1
1550-1600,harnisch,1
1550-1600,head,2
1550-1600,heidelberga,2
1550-1600,helmet,2
1550-1600,henricpetri,1
1550-1600,heshusiu,1
1550-1600,heydelberg,3
1550-1600,hieronymi,1
1550-1600,hippocrati,1
1550-1600,historiam,1
1550-1600,hold,1
1550-1600,honbl,2
1550-1600,honorati,1
1550-1600,hous,1
1550-1600,hunt,1
