decade,word,tf,occurrences
1650-1700,ecclesiast,0.0046948356807511,"[24, 124, 178, 587]"
1650-1700,process,0.0023474178403755,"[25, 115]"
1650-1700,food,0.0058685446009389,"[26, 243, 436, 511, 513]"
1650-1700,suppli,0.0070422535211267,"[26, 123, 243, 436, 511, 513]"
1650-1700,hous,0.0023474178403755,"[27, 334]"
1650-1700,sell,0.0011737089201877,[27]
1650-1700,fish,0.0011737089201877,[28]
1650-1700,trade,0.0093896713615023,"[28, 180, 195, 227, 228, 553, 580, 626]"
1650-1700,ancient,0.0046948356807511,"[35, 47, 518, 528]"
1650-1700,probabil,0.0011737089201877,[41]
1650-1700,cathol,0.0129107981220657,"[42, 111, 176, 197, 209, 336, 390, 465, 506, 594, 673]"
1650-1700,feudal,0.0023474178403755,"[43, 502]"
1650-1700,sermon,0.0176056338028169,"[44, 52, 53, 109, 222, 267, 277, 337, 338, 340, 378, 384, 387, 612, 665]"
1650-1700,english,0.022300469483568,"[44, 52, 53, 74, 222, 225, 267, 337, 338, 340, 362, 377, 384, 387, 402, 527, 612, 653, 665]"
1650-1700,ephemerid,0.0011737089201877,[45]
1650-1700,charl,0.0105633802816901,"[46, 211, 265, 343, 391, 453, 630, 657, 661]"
1650-1700,ii,0.0152582159624413,"[46, 125, 211, 244, 245, 391, 392, 417, 453, 593, 647, 661, 680]"
1650-1700,king,0.022300469483568,"[46, 76, 125, 211, 265, 301, 343, 357, 391, 392, 453, 549, 592, 609, 630, 647, 661, 672, 680]"
1650-1700,england,0.0457746478873239,"[46, 56, 125, 208, 211, 223, 263, 264, 265, 268, 301, 309, 314, 333, 343, 348, 349, 354, 356, 357, 389, 391, 392, 394, 427, 453, 457, 504, 516, 517, 542, 549, 596, 598, 609, 630, 647, 661, 680]"
1650-1700,wound,0.0011737089201877,[49]
1650-1700,injuri,0.0011737089201877,[49]
1650-1700,dissent,0.0093896713615023,"[50, 78, 120, 165, 325, 442, 449, 604]"
1650-1700,toler,0.0035211267605633,"[51, 368, 583]"
1650-1700,wale,0.0140845070422535,"[56, 268, 314, 348, 349, 354, 356, 457, 504, 516, 517, 596]"
1650-1700,armi,0.0058685446009389,"[56, 314, 354, 516, 517]"
1650-1700,devot,0.0011737089201877,[59]
1650-1700,literatur,0.0023474178403755,"[59, 293]"
1650-1700,apparit,0.0011737089201877,[60]
1650-1700,state,0.0046948356807511,"[61, 226, 344, 424]"
1650-1700,local,0.0011737089201877,[63]
1650-1700,elect,0.0023474178403755,"[63, 386]"
1650-1700,polit,0.0046948356807511,"[64, 108, 210, 607]"
1650-1700,scienc,0.0070422535211267,"[64, 244, 245, 417, 593, 607]"
1650-1700,fast,0.0011737089201877,[65]
1650-1700,feast,0.0011737089201877,[65]
1650-1700,grand,0.0023474178403755,"[66, 188]"
1650-1700,allianc,0.0023474178403755,"[66, 188]"
1650-1700,public,0.0046948356807511,"[67, 395, 532, 641]"
1650-1700,worship,0.0023474178403755,"[67, 395]"
1650-1700,scotland,0.0070422535211267,"[69, 100, 101, 372, 543, 605]"
1650-1700,parliament,0.0105633802816901,"[69, 268, 348, 349, 356, 457, 504, 543, 596]"
1650-1700,astrolog,0.0023474178403755,"[70, 397]"
1650-1700,friend,0.0035211267605633,"[71, 365, 438]"
1650-1700,societi,0.0035211267605633,"[71, 365, 438]"
1650-1700,poetri,0.0046948356807511,"[74, 362, 377, 383]"
1650-1700,pirat,0.0011737089201877,[75]
1650-1700,philip,0.0011737089201877,[76]
1650-1700,oblig,0.0011737089201877,[77]
1650-1700,franci,0.0011737089201877,[89]
1650-1700,xavier,0.0011737089201877,[89]
1650-1700,saint,0.0070422535211267,"[89, 274, 308, 426, 624, 674]"
1650-1700,high,0.0011737089201877,[100]
1650-1700,court,0.0023474178403755,"[100, 200]"
1650-1700,justiciari,0.0011737089201877,[100]
1650-1700,edinburgh,0.0023474178403755,[101]
1650-1700,castl,0.0011737089201877,[101]
1650-1700,grain,0.0035211267605633,"[102, 195, 580]"
1650-1700,deliru,0.0011737089201877,[103]
1650-1700,prodromu,0.0011737089201877,[103]
1650-1700,viam,0.0011737089201877,[103]
1650-1700,reductu,0.0011737089201877,[103]
1650-1700,covenant,0.0011737089201877,[105]
1650-1700,christian,0.0093896713615023,"[107, 198, 270, 274, 426, 547, 624, 674]"
1650-1700,union,0.0011737089201877,[107]
1650-1700,religion,0.0035211267605633,"[108, 466, 627]"
1650-1700,funer,0.0023474178403755,"[109, 378]"
1650-1700,build,0.0046948356807511,"[110, 262, 359, 360]"
1650-1700,collegium,0.0023474178403755,"[111, 673]"
1650-1700,cardinalium,0.0023474178403755,"[111, 673]"
1650-1700,nobil,0.0011737089201877,[113]
1650-1700,cleopatra,0.0011737089201877,[121]
1650-1700,queen,0.0023474178403755,"[121, 125]"
1650-1700,egypt,0.0011737089201877,[121]
1650-1700,medic,0.0011737089201877,[123]
1650-1700,mari,0.0023474178403755,"[125, 186]"
1650-1700,modena,0.0011737089201877,[125]
1650-1700,consort,0.0011737089201877,[125]
1650-1700,jame,0.0058685446009389,"[125, 392, 614, 647, 680]"
1650-1700,innoc,0.0011737089201877,[156]
1650-1700,x,0.0011737089201877,[156]
1650-1700,pope,0.0011737089201877,[156]
1650-1700,music,0.0035211267605633,"[157, 275, 499]"
1650-1700,botani,0.0011737089201877,[159]
1650-1700,arm,0.0011737089201877,[164]
1650-1700,forc,0.0011737089201877,[164]
1650-1700,benefic,0.0011737089201877,[178]
1650-1700,fire,0.0011737089201877,[179]
1650-1700,lead,0.0011737089201877,[180]
1650-1700,industri,0.0046948356807511,"[180, 307, 509, 626]"
1650-1700,engrav,0.0011737089201877,[182]
1650-1700,triniti,0.0011737089201877,[183]
1650-1700,lyme,0.0011737089201877,[186]
1650-1700,regi,0.0011737089201877,[186]
1650-1700,ship,0.0023474178403755,"[186, 446]"
1650-1700,inherit,0.0011737089201877,[187]
1650-1700,success,0.0011737089201877,[187]
1650-1700,servitud,0.0011737089201877,[189]
1650-1700,roman,0.0082159624413145,"[189, 199, 269, 303, 400, 401, 681]"
1650-1700,bibl,0.0070422535211267,"[190, 332, 341, 444, 537, 611]"
1650-1700,leipzig,0.0011737089201877,[194]
1650-1700,life,0.0046948356807511,"[198, 548, 589, 620]"
1650-1700,corpor,0.0011737089201877,[200]
1650-1700,london,0.0011737089201877,[200]
1650-1700,common,0.0011737089201877,[200]
1650-1700,council,0.0011737089201877,[200]
1650-1700,crimin,0.0011737089201877,[201]
1650-1700,tith,0.0023474178403755,"[202, 462]"
1650-1700,vane,0.0011737089201877,[203]
1650-1700,henri,0.0011737089201877,[203]
1650-1700,sir,0.0023474178403755,"[203, 637]"
1650-1700,apologet,0.0035211267605633,"[204, 345, 645]"
1650-1700,ethic,0.0023474178403755,"[210, 547]"
1650-1700,legitimaci,0.0011737089201877,[212]
1650-1700,govern,0.0011737089201877,[212]
1650-1700,coven,0.0011737089201877,[213]
1650-1700,theolog,0.0011737089201877,[213]
1650-1700,cannib,0.0011737089201877,[215]
1650-1700,wittenberg,0.0105633802816901,"[216, 273, 312, 404, 412, 413, 416, 507, 670]"
1650-1700,larceni,0.0011737089201877,[218]
1650-1700,popish,0.0070422535211267,"[219, 363, 364, 398, 503, 658]"
1650-1700,plot,0.0082159624413145,"[219, 334, 363, 364, 398, 503, 658]"
1650-1700,brigand,0.0011737089201877,[220]
1650-1700,robber,0.0011737089201877,[220]
1650-1700,separatist,0.0011737089201877,[221]
1650-1700,ballad,0.0011737089201877,[225]
1650-1700,slave,0.0011737089201877,[227]
1650-1700,compani,0.0011737089201877,[228]
1650-1700,monarchi,0.0011737089201877,[240]
1650-1700,persecut,0.0023474178403755,"[241, 330]"
1650-1700,de,0.0046948356807511,"[244, 245, 417, 593]"
1650-1700,strasbourg,0.0046948356807511,"[244, 245, 417, 593]"
1650-1700,humain,0.0046948356807511,"[244, 245, 417, 593]"
1650-1700,protestant,0.0023474178403755,"[246, 463]"
1650-1700,cerebrovascular,0.0011737089201877,[248]
1650-1700,diseas,0.0011737089201877,[248]
1650-1700,test,0.0023474178403755,"[249, 555]"
1650-1700,act,0.0023474178403755,"[249, 555]"
1650-1700,conscienc,0.0011737089201877,[253]
1650-1700,pier,0.0011737089201877,[266]
1650-1700,frankfurt,0.0011737089201877,[272]
1650-1700,der,0.0011737089201877,[272]
1650-1700,oder,0.0011737089201877,[272]
1650-1700,mill,0.0023474178403755,"[276, 579]"
1650-1700,french,0.0011737089201877,[277]
1650-1700,coinag,0.0023474178403755,"[278, 346]"
1650-1700,relic,0.0011737089201877,[279]
1650-1700,agricultur,0.0011737089201877,[280]
1650-1700,legisl,0.0011737089201877,[280]
